"","vfinx","veurx","veiex","vbltx","vbisx","vpacx"
"Jan 2010",84.125618,18.075541,20.069147,7.913142,9.07485,7.624739
"Feb 2010",86.726646,17.882217,20.284058,7.8938,9.093036,7.776591
"Mar 2010",91.571701,19.01984,21.937201,7.8573,9.066187,8.232157
"Apr 2010",93.395058,18.469616,21.99506,8.097167,9.125226,8.144242
"May 2010",85.927216,16.209246,19.945158,8.213717,9.160059,7.368979
"Jun 2010",81.002693,16.030794,19.936892,8.557998,9.23853,7.20114
"Jul 2010",87.11219,18.097847,21.780148,8.640217,9.307511,7.720643
"Aug 2010",83.166176,17.317129,21.292473,9.139106,9.359142,7.536819
"Sep 2010",90.123177,19.287518,23.673,9.035092,9.384571,8.120262
"Oct 2010",94.011307,20.187202,24.375582,8.831375,9.426704,8.304088
"Nov 2010",94.011307,18.573709,23.714325,8.712533,9.389795,8.336059
"Dec 2010",99.856842,19.480835,25.078167,8.465133,9.291169,8.687721
"Jan 2011",102.646202,20.951557,24.744951,8.396441,9.3601,8.942476
"Feb 2011",106.152885,21.662304,24.535255,8.524989,9.349438,9.305119
"Mar 2011",105.737267,21.461439,25.902517,8.507093,9.328129,8.761152
"Apr 2011",109.314423,23.222855,26.800049,8.716848,9.422459,9.033136
"May 2011",108.062347,22.519831,26.045115,8.969617,9.482241,8.794121
"Jun 2011",105.775536,22.056301,25.650871,8.795286,9.479559,8.843572
"Jul 2011",104.07901,21.237402,25.441166,9.174039,9.5565,8.958957
"Aug 2011",98.4104,19.097433,23.260256,9.577665,9.588801,8.365541
"Sep 2011",90.994911,16.903399,19.502382,10.210003,9.567264,7.648494
"Oct 2011",101.446487,18.912029,22.136248,10.186976,9.598722,8.027624
"Nov 2011",101.209442,18.286255,21.381319,10.099139,9.576255,7.928719
"Dec 2011",101.665985,17.119713,20.223759,10.342628,9.561837,7.467171
"Jan 2012",106.809044,18.873953,22.983267,10.561322,9.665024,8.230016
"Feb 2012",111.409164,19.933283,24.261543,10.508005,9.659586,8.587471
"Mar 2012",114.58773,19.965633,23.566641,10.178942,9.644133,8.613003
"Apr 2012",114.330559,19.496618,23.154844,10.528646,9.687823,8.434275
